
Unique Visitors for twitch.tv - from 09/2010 to 09/2011

Date,Unique Visitors,Growth
09/2010,0,0.00%
10/2010,0,0.00%
11/2010,0,0.00%
12/2010,0,0.00%
01/2011,0,0.00%
02/2011,0,0.00%
03/2011,0,0.00%
04/2011,0,0.00%
05/2011,0,0.00%
06/2011,N/A,N/A
07/2011,"147,363","5,683.48%"
08/2011,"395,446",168.35%
09/2011,"409,563",3.57%
