
Unique Visitors for ustream.tv - from 09/2010 to 09/2011

Date,Unique Visitors,Growth
09/2010,"2,804,704",-19.61%
10/2010,"2,584,849",-7.84%
11/2010,"2,564,157",-0.80%
12/2010,"2,347,249",-8.46%
01/2011,"2,309,668",-1.60%
02/2011,"2,550,133",10.41%
03/2011,"3,982,566",56.17%
04/2011,"5,840,120",46.64%
05/2011,"3,413,066",-41.56%
06/2011,"2,943,994",-13.74%
07/2011,"2,789,104",-5.26%
08/2011,"2,796,912",0.28%
09/2011,"2,674,239",-4.39%
