
Unique Visitors for justin.tv - from 09/2010 to 09/2011

Date,Unique Visitors,Growth
09/2010,"2,171,090",18.50%
10/2010,"2,233,052",2.85%
11/2010,"2,386,909",6.89%
12/2010,"2,184,838",-8.47%
01/2011,"2,115,166",-3.19%
02/2011,"2,052,731",-2.95%
03/2011,"2,119,877",3.27%
04/2011,"2,118,784",-0.05%
05/2011,"2,064,859",-2.55%
06/2011,"1,941,788",-5.96%
07/2011,"1,906,772",-1.80%
08/2011,"2,131,315",11.78%
09/2011,"2,507,727",17.66%
